Geolocation,Major Occupation,year,quarter,Female,Male
REGION I,Managers,2018,Q2,143.475,159.14
BARMM,Elementary Occupations,2021,Q4,142.51733333333334,154.00766666666667
REGION VII,Clerical Support Workers,2021,Q3,142.47566666666665,106.56933333333335
REGION X,Service and Sales Workers,2018,Q2,142.431,121.524
REGION VII,Clerical Support Workers,2020,Q1,142.321,86.619
REGION I,Service and Sales Workers,2021,Q1,142.21966666666665,194.36100000000002
REGION III,Clerical Support Workers,2020,Q4,141.621,122.092
CARAGA,Service and Sales Workers,2020,Q4,140.937,72.851
REGION III,Professionals,2019,Q3,140.886,91.101
REGION VII,Skilled Agricultural Forestry and Fishery Workers,2020,Q1,140.877,280.69
REGION VIII,Elementary Occupations,2020,Q1,140.827,420.629
REGION III,Professionals,2018,Q3,140.486,89.462
REGION VIII,Elementary Occupations,2019,Q1,140.434,361.325
REGION IX,Service and Sales Workers,2021,Q4,140.3083333333333,84.41233333333334
REGION XI,Elementary Occupations,2019,Q1,139.58,441.155
REGION IVA,Craft and Related Trades Workers,2019,Q2,139.565,519.262
MIMAROPA REGION,Elementary Occupations,2021,Q2,139.50900000000001,295.004
REGION IVA,Managers,2020,Q2,139.442,180.615
REGION VI,Professionals,2020,Q1,139.047,36.024
REGION VIII,Service and Sales Workers,2020,Q3,138.832,110.758
REGION VIII,Elementary Occupations,2020,Q2,138.46,302.031
CARAGA,Service and Sales Workers,2020,Q3,137.528,71.199
REGION IVA,Technicians and Associate Professionals,2021,Q2,137.27,153.24433333333334
REGION II,Service and Sales Workers,2020,Q1,137.002,61.647
REGION VII,Managers,2020,Q3,136.636,83.29
CARAGA,Elementary Occupations,2018,Q1,136.189,232.875
REGION II,Service and Sales Workers,2021,Q4,136.145,86.55399999999999
REGION IVA,Craft and Related Trades Workers,2021,Q3,136.03466666666668,474.80133333333333
REGION IX,Elementary Occupations,2019,Q4,136.006,273.527
REGION VII,Clerical Support Workers,2018,Q2,135.841,80.147
MIMAROPA REGION,Elementary Occupations,2020,Q3,135.433,296.311
MIMAROPA REGION,Elementary Occupations,2021,Q3,135.38533333333334,235.75733333333332
REGION VIII,Managers,2020,Q3,135.161,75.848
CARAGA,Service and Sales Workers,2020,Q1,135.126,81.668
REGION XII,Managers,2019,Q1,134.992,109.362
REGION VIII,Managers,2019,Q2,134.858,105.455
REGION VII,Managers,2020,Q4,134.708,96.756
REGION III,Clerical Support Workers,2020,Q3,134.665,103.681
REGION IX,Service and Sales Workers,2019,Q4,134.087,88.656
BARMM,Elementary Occupations,2019,Q3,134.042,189.245
REGION XII,Service and Sales Workers,2021,Q1,133.67566666666667,123.55033333333334
REGION VIII,Elementary Occupations,2020,Q4,133.559,303.713
REGION VII,Managers,2021,Q3,133.3886666666667,59.92366666666667
REGION IX,Service and Sales Workers,2021,Q2,132.671,87.64333333333333
REGION IX,Elementary Occupations,2019,Q3,132.525,270.895
CARAGA,Elementary Occupations,2021,Q3,132.03866666666667,265.26533333333333
REGION VII,Skilled Agricultural Forestry and Fishery Workers,2019,Q4,131.762,310.839
REGION VII,Skilled Agricultural Forestry and Fishery Workers,2019,Q2,131.214,307.749
REGION III,Professionals,2021,Q3,131.14633333333333,109.242
REGION XI,Elementary Occupations,2019,Q3,130.844,442.651
REGION IX,Service and Sales Workers,2021,Q3,130.64966666666666,92.96633333333334
REGION VII,Professionals,2020,Q1,130.545,59.184
CARAGA,Elementary Occupations,2020,Q3,130.299,229.925
REGION VI,Managers,2020,Q2,130.148,131.588
REGION VII,Skilled Agricultural Forestry and Fishery Workers,2021,Q4,129.63833333333332,502.4403333333333
REGION XII,Service and Sales Workers,2019,Q1,129.573,83.202
NCR,Technicians and Associate Professionals,2021,Q1,129.11866666666666,206.87766666666667
REGION IX,Elementary Occupations,2019,Q2,128.907,263.309
MIMAROPA REGION,Service and Sales Workers,2021,Q2,128.726,73.82933333333334
REGION IX,Elementary Occupations,2018,Q4,128.557,287.764
REGION IVA,Plant and Machine Operators and Assemblers,2018,Q2,127.994,462.607
REGION III,Clerical Support Workers,2020,Q2,127.663,100.662
NCR,Technicians and Associate Professionals,2018,Q1,127.503,164.642
REGION VI,Professionals,2018,Q3,127.457,35.619
REGION VII,Skilled Agricultural Forestry and Fishery Workers,2019,Q3,127.178,302.216
REGION VIII,Managers,2019,Q4,126.867,96.627
REGION VII,Skilled Agricultural Forestry and Fishery Workers,2021,Q2,126.69,357.09799999999996
REGION VII,Skilled Agricultural Forestry and Fishery Workers,2018,Q3,126.473,302.157
REGION VII,Professionals,2019,Q3,126.215,51.354
REGION VII,Professionals,2021,Q2,126.20366666666666,58.538000000000004
REGION VII,Skilled Agricultural Forestry and Fishery Workers,2018,Q4,126.142,289.077
REGION I,Managers,2021,Q1,126.09466666666667,175.595
REGION XII,Managers,2020,Q4,125.807,73.326
REGION VIII,Elementary Occupations,2021,Q1,125.378,399.066
REGION VI,Managers,2020,Q3,125.231,84.546
MIMAROPA REGION,Elementary Occupations,2018,Q1,125.001,307.292
CARAGA,Elementary Occupations,2020,Q1,124.885,224.193
REGION V,Elementary Occupations,2021,Q1,124.73566666666666,524.135
CARAGA,Service and Sales Workers,2019,Q3,124.682,79.604
REGION VII,Managers,2020,Q1,124.392,125.242
REGION VII,Clerical Support Workers,2019,Q4,124.346,99.766
REGION IVA,Craft and Related Trades Workers,2018,Q3,124.107,506.684
REGION VIII,Service and Sales Workers,2018,Q4,122.916,117.953
REGION VIII,Service and Sales Workers,2019,Q4,122.81,117.731
REGION VII,Clerical Support Workers,2019,Q1,122.786,87.229
REGION VI,Skilled Agricultural Forestry and Fishery Workers,2021,Q2,122.50233333333331,374.51933333333335
REGION I,Managers,2020,Q1,122.39,128.806
NCR,Technicians and Associate Professionals,2020,Q3,121.748,143.695
REGION V,Managers,2019,Q1,121.622,110.43
REGION VII,Clerical Support Workers,2019,Q3,121.344,84.634
REGION VII,Skilled Agricultural Forestry and Fishery Workers,2020,Q4,121.296,392.553
REGION XI,Elementary Occupations,2021,Q1,120.76166666666666,461.987
CARAGA,Service and Sales Workers,2021,Q1,120.31933333333332,79.12366666666667
REGION VII,Clerical Support Workers,2018,Q1,120.311,83.167
BARMM,Service and Sales Workers,2021,Q4,120.27433333333333,65.55433333333333
REGION III,Technicians and Associate Professionals,2019,Q3,120.158,97.441
MIMAROPA REGION,Elementary Occupations,2018,Q2,120.143,280.058
REGION IX,Service and Sales Workers,2020,Q1,119.985,81.343
REGION III,Professionals,2021,Q1,119.96466666666667,71.73766666666667
REGION VII,Professionals,2020,Q4,119.668,49.522
REGION IX,Managers,2018,Q3,119.658,110.554
REGION VII,Professionals,2018,Q1,119.388,47.826
REGION XII,Service and Sales Workers,2018,Q3,119.286,93.658
REGION XI,Elementary Occupations,2019,Q2,119.069,407.735
REGION XII,Managers,2019,Q4,118.824,121.372
REGION XII,Service and Sales Workers,2018,Q4,118.805,86.619
CARAGA,Elementary Occupations,2018,Q3,118.793,235.077
REGION IX,Managers,2018,Q2,118.595,85.809
MIMAROPA REGION,Managers,2018,Q1,118.582,81.627
MIMAROPA REGION,Managers,2019,Q2,118.064,87.946
REGION VII,Professionals,2019,Q4,117.599,51.543
REGION IVA,Craft and Related Trades Workers,2019,Q1,117.475,530.372
CARAGA,Elementary Occupations,2019,Q2,117.298,209.118
REGION IVA,Craft and Related Trades Workers,2020,Q4,117.056,483.061
REGION VI,Professionals,2021,Q2,116.65333333333335,50.76433333333333
REGION VI,Professionals,2019,Q2,116.535,47.876
CARAGA,Elementary Occupations,2018,Q2,116.518,233.857
REGION VII,Managers,2021,Q4,116.43233333333335,74.68900000000001
MIMAROPA REGION,Service and Sales Workers,2021,Q4,116.22466666666666,62.913000000000004
BARMM,Skilled Agricultural Forestry and Fishery Workers,2020,Q4,115.934,502.419
REGION III,Managers,2021,Q1,115.77233333333334,156.13833333333335
MIMAROPA REGION,Elementary Occupations,2018,Q3,115.663,273.549
MIMAROPA REGION,Service and Sales Workers,2020,Q4,115.552,83.574
REGION V,Managers,2020,Q4,115.507,64.228
REGION VIII,Service and Sales Workers,2020,Q2,115.208,94.531
REGION VI,Managers,2021,Q2,114.733,97.58033333333333
REGION II,Service and Sales Workers,2020,Q3,114.641,71.311
REGION VIII,Managers,2020,Q4,114.433,67.355
CARAGA,Service and Sales Workers,2019,Q2,114.343,74.293
REGION VI,Clerical Support Workers,2021,Q2,114.11200000000001,90.383
REGION VI,Skilled Agricultural Forestry and Fishery Workers,2021,Q3,113.78533333333333,374.04766666666666
REGION III,Technicians and Associate Professionals,2019,Q4,113.626,93.659
REGION III,Clerical Support Workers,2021,Q1,113.60966666666666,142.30266666666668
REGION IX,Elementary Occupations,2020,Q2,113.556,186.116
MIMAROPA REGION,Elementary Occupations,2020,Q4,113.331,222.261
REGION II,Managers,2018,Q4,113.283,96.623
BARMM,Service and Sales Workers,2021,Q1,113.248,50.065
REGION VI,Professionals,2019,Q1,113.01,33.942
REGION IVA,Plant and Machine Operators and Assemblers,2021,Q4,112.79599999999999,529.51
REGION IX,Elementary Occupations,2018,Q3,112.415,264.398
REGION III,Craft and Related Trades Workers,2018,Q2,112.237,406.108
REGION XII,Service and Sales Workers,2018,Q1,111.999,87.667
REGION VI,Clerical Support Workers,2020,Q3,111.9,57.326
REGION VI,Professionals,2019,Q3,111.835,48.698
REGION II,Service and Sales Workers,2019,Q2,111.701,68.173
MIMAROPA REGION,Service and Sales Workers,2020,Q3,111.567,61.736
REGION VIII,Managers,2020,Q1,111.094,77.399
REGION IX,Managers,2019,Q3,110.937,81.773
REGION V,Professionals,2021,Q4,110.82033333333334,47.03333333333333
REGION VI,Managers,2021,Q3,110.67933333333333,71.49933333333333
REGION VII,Professionals,2021,Q4,110.544,51.99266666666667
REGION IX,Elementary Occupations,2019,Q1,110.481,263.382
REGION VI,Clerical Support Workers,2021,Q3,110.46233333333333,80.73366666666668
CARAGA,Service and Sales Workers,2019,Q4,110.438,65.892
REGION IX,Service and Sales Workers,2020,Q3,110.368,67.637
REGION XII,Service and Sales Workers,2020,Q2,110.298,84.607
BARMM,Managers,2018,Q4,110.2,93.047
REGION VII,Professionals,2018,Q3,110.16,62.546
REGION IX,Elementary Occupations,2018,Q2,110.079,244.686
BARMM,Service and Sales Workers,2020,Q3,109.913,57.0
REGION XII,Managers,2020,Q3,109.902,61.701
REGION IVA,Technicians and Associate Professionals,2021,Q1,109.74133333333334,188.429
REGION I,Plant and Machine Operators and Assemblers,2021,Q4,109.734,107.18900000000001
MIMAROPA REGION,Elementary Occupations,2021,Q1,109.73,272.34766666666667
REGION VII,Managers,2021,Q2,109.60133333333333,86.925
REGION VII,Skilled Agricultural Forestry and Fishery Workers,2019,Q1,109.574,246.42
REGION VI,Professionals,2018,Q2,109.49,41.946
REGION VI,Professionals,2020,Q4,109.465,42.348
NCR,Technicians and Associate Professionals,2020,Q2,109.463,124.671
REGION VII,Clerical Support Workers,2020,Q2,109.429,74.37
REGION V,Managers,2020,Q1,109.38,95.262
REGION II,Service and Sales Workers,2019,Q4,108.801,92.651
REGION VI,Managers,2020,Q4,108.75,77.482
CARAGA,Managers,2018,Q1,108.735,73.798
REGION VIII,Managers,2020,Q2,108.46,79.193
REGION V,Managers,2019,Q4,108.393,100.719
REGION II,Service and Sales Workers,2019,Q1,108.381,68.053
REGION VI,Clerical Support Workers,2019,Q4,108.347,66.554
REGION IVA,Craft and Related Trades Workers,2020,Q3,108.263,521.971
CARAGA,Managers,2018,Q4,108.233,71.657
REGION VI,Professionals,2018,Q4,108.163,38.554
MIMAROPA REGION,Service and Sales Workers,2021,Q3,108.11399999999999,55.11966666666666
REGION XI,Elementary Occupations,2020,Q4,107.926,409.567
CARAGA,Service and Sales Workers,2020,Q2,107.822,67.75
MIMAROPA REGION,Service and Sales Workers,2019,Q4,107.62,76.629
REGION XII,Service and Sales Workers,2018,Q2,107.509,74.121
REGION IVA,Craft and Related Trades Workers,2018,Q1,107.352,431.268
REGION IX,Service and Sales Workers,2019,Q2,107.324,78.446
REGION IVA,Craft and Related Trades Workers,2020,Q1,107.125,467.721
MIMAROPA REGION,Elementary Occupations,2019,Q1,107.118,242.608
REGION VII,Clerical Support Workers,2019,Q2,106.931,80.722
MIMAROPA REGION,Elementary Occupations,2019,Q3,106.893,258.856
REGION VI,Clerical Support Workers,2021,Q4,106.60866666666665,82.562
REGION VI,Clerical Support Workers,2020,Q1,106.568,74.8
REGION VII,Skilled Agricultural Forestry and Fishery Workers,2021,Q1,106.28366666666666,464.26966666666664
REGION VII,Clerical Support Workers,2020,Q4,106.161,84.025
MIMAROPA REGION,Elementary Occupations,2020,Q1,106.073,237.069
REGION III,Managers,2020,Q1,106.009,170.394
REGION V,Managers,2021,Q2,105.81099999999999,76.72166666666668
REGION VII,Professionals,2018,Q4,105.641,46.897
REGION VII,Clerical Support Workers,2018,Q4,105.512,87.745
REGION III,Professionals,2020,Q3,105.342,65.14
REGION XI,Clerical Support Workers,2021,Q2,105.23,68.09566666666666
REGION VII,Professionals,2021,Q3,104.70299999999999,53.898
REGION VII,Skilled Agricultural Forestry and Fishery Workers,2020,Q2,104.481,313.774
MIMAROPA REGION,Service and Sales Workers,2019,Q2,104.407,67.318
REGION XII,Managers,2021,Q3,104.34166666666665,54.839
REGION VII,Professionals,2020,Q2,104.161,50.126
REGION VI,Professionals,2020,Q2,103.408,47.107
REGION II,Elementary Occupations,2020,Q4,102.992,270.852
REGION VII,Clerical Support Workers,2020,Q3,102.958,70.534
REGION III,Craft and Related Trades Workers,2019,Q2,102.889,390.392
REGION VII,Managers,2020,Q2,102.792,92.001
REGION VI,Clerical Support Workers,2019,Q3,102.676,53.126
REGION IX,Managers,2018,Q4,102.482,93.784
REGION I,Managers,2019,Q2,102.431,123.248
REGION IVA,Craft and Related Trades Workers,2019,Q4,102.236,505.27
CARAGA,Managers,2018,Q2,102.082,84.217
REGION XII,Managers,2019,Q2,102.013,107.001
CARAGA,Managers,2018,Q3,101.752,73.079
REGION VI,Professionals,2019,Q4,101.726,42.191
REGION II,Service and Sales Workers,2021,Q1,101.55066666666666,81.59966666666666
REGION VII,Professionals,2019,Q1,101.545,64.977
MIMAROPA REGION,Managers,2018,Q2,101.529,94.394
REGION VI,Professionals,2021,Q4,101.48733333333332,47.467000000000006
MIMAROPA REGION,Managers,2018,Q3,101.451,76.694
REGION III,Craft and Related Trades Workers,2018,Q4,101.314,358.62
REGION VI,Clerical Support Workers,2019,Q2,101.29,55.549
REGION V,Managers,2020,Q2,101.225,77.391
REGION XI,Elementary Occupations,2020,Q2,101.156,348.472
REGION VI,Professionals,2021,Q1,101.07033333333334,56.58166666666667
REGION I,Managers,2020,Q2,100.969,141.775
REGION VI,Skilled Agricultural Forestry and Fishery Workers,2020,Q3,100.728,362.232
REGION III,Technicians and Associate Professionals,2019,Q1,100.514,118.723
BARMM,Elementary Occupations,2019,Q2,99.664,141.484
REGION IX,Service and Sales Workers,2020,Q4,99.419,85.319
CARAGA,Elementary Occupations,2018,Q4,99.383,245.498
REGION X,Skilled Agricultural Forestry and Fishery Workers,2020,Q3,99.282,333.029
REGION IVA,Craft and Related Trades Workers,2018,Q4,99.168,515.166
MIMAROPA REGION,Service and Sales Workers,2019,Q1,99.106,50.4
REGION VI,Clerical Support Workers,2018,Q2,99.084,60.675
REGION II,Service and Sales Workers,2020,Q2,98.762,73.909
BARMM,Elementary Occupations,2019,Q4,98.696,131.726
REGION V,Skilled Agricultural Forestry and Fishery Workers,2019,Q4,98.574,287.866
MIMAROPA REGION,Service and Sales Workers,2019,Q3,98.331,74.141
REGION V,Managers,2019,Q2,98.308,90.354
REGION III,Craft and Related Trades Workers,2020,Q1,98.043,427.381
REGION VI,Clerical Support Workers,2020,Q4,97.975,53.792
REGION VII,Professionals,2020,Q3,97.479,55.688
REGION II,Managers,2018,Q2,97.449,86.764
CAR,Elementary Occupations,2021,Q4,97.38,141.3576666666667
REGION VI,Professionals,2018,Q1,97.323,42.011
REGION VI,Clerical Support Workers,2018,Q3,97.127,58.695
CARAGA,Elementary Occupations,2019,Q1,97.018,218.174
REGION VII,Professionals,2018,Q2,97.015,57.921
CARAGA,Service and Sales Workers,2018,Q2,96.956,72.914
CARAGA,Elementary Occupations,2019,Q3,96.854,214.953
CARAGA,Elementary Occupations,2019,Q4,96.826,210.096
REGION IX,Managers,2019,Q1,96.435,88.622
CARAGA,Elementary Occupations,2021,Q1,96.41333333333334,212.49866666666665
REGION IX,Managers,2018,Q1,95.932,105.463
CAR,Elementary Occupations,2021,Q3,95.92966666666666,145.953
REGION VII,Clerical Support Workers,2018,Q3,95.739,66.509
CAR,Elementary Occupations,2020,Q1,95.572,125.514
REGION V,Professionals,2019,Q4,95.295,27.827
REGION X,Skilled Agricultural Forestry and Fishery Workers,2018,Q1,95.27,294.383
REGION VI,Skilled Agricultural Forestry and Fishery Workers,2018,Q1,95.26,323.703
REGION XI,Clerical Support Workers,2021,Q3,95.20933333333333,59.058
CARAGA,Service and Sales Workers,2018,Q1,95.06,72.098
CAR,Elementary Occupations,2020,Q3,95.041,127.542
MIMAROPA REGION,Managers,2020,Q3,94.918,64.23
REGION X,Skilled Agricultural Forestry and Fishery Workers,2021,Q2,94.87466666666667,255.19266666666667
MIMAROPA REGION,Service and Sales Workers,2020,Q1,94.812,64.381
MIMAROPA REGION,Elementary Occupations,2018,Q4,94.716,283.729
CARAGA,Elementary Occupations,2020,Q2,94.696,167.114
MIMAROPA REGION,Service and Sales Workers,2021,Q1,94.48633333333333,70.78933333333333
BARMM,Elementary Occupations,2021,Q3,94.31966666666666,209.18966666666665
BARMM,Service and Sales Workers,2019,Q4,94.244,51.092
REGION V,Professionals,2021,Q2,94.129,35.228
BARMM,Skilled Agricultural Forestry and Fishery Workers,2021,Q2,94.06166666666667,516.9173333333333
REGION VI,Professionals,2021,Q3,93.705,35.24433333333333
CARAGA,Service and Sales Workers,2019,Q1,93.041,55.927
BARMM,Elementary Occupations,2018,Q1,92.965,120.089
REGION VI,Skilled Agricultural Forestry and Fishery Workers,2019,Q4,92.593,359.422
CAR,Elementary Occupations,2021,Q2,92.58033333333333,130.96366666666668
REGION VII,Skilled Agricultural Forestry and Fishery Workers,2018,Q2,92.423,301.693
REGION II,Service and Sales Workers,2020,Q4,92.326,48.823
CAR,Elementary Occupations,2018,Q3,92.193,149.784
REGION V,Managers,2020,Q3,91.98,65.313
REGION V,Professionals,2020,Q4,91.861,44.643
REGION X,Managers,2019,Q4,91.705,70.11
MIMAROPA REGION,Service and Sales Workers,2018,Q1,91.538,74.494
REGION VI,Skilled Agricultural Forestry and Fishery Workers,2020,Q4,91.409,369.822
REGION III,Craft and Related Trades Workers,2018,Q3,91.335,367.991
BARMM,Service and Sales Workers,2021,Q3,91.32433333333334,55.398666666666664
BARMM,Service and Sales Workers,2020,Q4,91.31,58.598
MIMAROPA REGION,Elementary Occupations,2019,Q4,91.293,229.695
REGION IX,Managers,2021,Q3,91.28333333333335,87.85666666666667
REGION IX,Service and Sales Workers,2021,Q1,91.23366666666668,64.46233333333333
REGION VII,Professionals,2019,Q2,91.233,35.125
REGION IVA,Craft and Related Trades Workers,2018,Q2,91.153,515.217
REGION III,Craft and Related Trades Workers,2019,Q1,90.718,399.021
MIMAROPA REGION,Managers,2018,Q4,90.659,78.642
CAR,Elementary Occupations,2019,Q2,90.508,131.199
REGION VI,Clerical Support Workers,2019,Q1,90.21,57.866
CAR,Elementary Occupations,2018,Q4,90.123,145.485
REGION IX,Service and Sales Workers,2018,Q4,89.998,75.407
REGION II,Managers,2018,Q3,89.928,90.758
REGION VI,Clerical Support Workers,2018,Q4,89.749,58.399
REGION III,Technicians and Associate Professionals,2019,Q2,89.693,118.958
REGION X,Skilled Agricultural Forestry and Fishery Workers,2021,Q4,89.40633333333334,326.68666666666667
MIMAROPA REGION,Managers,2019,Q3,89.318,64.294
REGION V,Skilled Agricultural Forestry and Fishery Workers,2018,Q2,89.227,338.444
MIMAROPA REGION,Elementary Occupations,2019,Q2,89.185,226.224
REGION IX,Managers,2019,Q2,89.069,103.82
REGION IX,Service and Sales Workers,2019,Q1,89.008,60.585
BARMM,Elementary Occupations,2018,Q4,88.999,133.881
REGION VI,Clerical Support Workers,2020,Q2,88.801,58.957
REGION III,Craft and Related Trades Workers,2021,Q3,88.54833333333333,399.14300000000003
REGION VII,Managers,2021,Q1,88.50866666666667,93.447
CAR,Elementary Occupations,2018,Q2,88.425,138.972
REGION VI,Professionals,2020,Q3,88.394,43.087
REGION XI,Clerical Support Workers,2021,Q4,88.19,89.74566666666665
MIMAROPA REGION,Service and Sales Workers,2018,Q2,87.799,57.323
CAR,Elementary Occupations,2018,Q1,87.65,114.344
BARMM,Skilled Agricultural Forestry and Fishery Workers,2021,Q4,87.57099999999998,465.41799999999995
REGION IX,Service and Sales Workers,2019,Q3,87.444,84.924
REGION V,Managers,2019,Q3,87.438,98.528
REGION V,Professionals,2018,Q3,87.13,26.873
REGION I,Plant and Machine Operators and Assemblers,2021,Q3,87.10566666666666,91.81433333333332
REGION VI,Skilled Agricultural Forestry and Fishery Workers,2018,Q3,87.067,380.255
BARMM,Elementary Occupations,2020,Q1,86.929,116.278
REGION I,Professionals,2021,Q2,86.85733333333333,49.701
MIMAROPA REGION,Elementary Occupations,2021,Q4,86.77233333333334,258.055
REGION XII,Skilled Agricultural Forestry and Fishery Workers,2021,Q4,86.76833333333333,312.983
REGION I,Managers,2021,Q4,86.43033333333334,102.49333333333334
CARAGA,Elementary Occupations,2020,Q4,86.307,180.079
MIMAROPA REGION,Elementary Occupations,2020,Q2,86.269,201.302
REGION V,Managers,2021,Q3,86.03733333333334,75.34866666666666
REGION III,Craft and Related Trades Workers,2019,Q3,86.014,435.254
REGION V,Professionals,2021,Q3,85.95733333333334,38.437999999999995
REGION XII,Managers,2020,Q1,85.955,85.2
MIMAROPA REGION,Service and Sales Workers,2018,Q4,85.921,64.156
REGION V,Professionals,2019,Q1,85.743,27.134
CARAGA,Service and Sales Workers,2018,Q3,85.537,63.47
REGION VI,Skilled Agricultural Forestry and Fishery Workers,2018,Q4,85.386,343.164
REGION II,Service and Sales Workers,2019,Q3,84.974,76.753
REGION II,Managers,2019,Q3,84.864,80.645
MIMAROPA REGION,Managers,2019,Q1,84.653,75.063
REGION I,Professionals,2019,Q2,84.514,44.479
REGION II,Service and Sales Workers,2018,Q1,84.319,65.611
REGION V,Professionals,2018,Q4,84.271,31.162
MIMAROPA REGION,Service and Sales Workers,2018,Q3,83.7,72.445
REGION V,Professionals,2019,Q3,83.538,32.834
REGION V,Professionals,2020,Q1,83.49,35.133
REGION II,Service and Sales Workers,2018,Q4,83.4,66.156
BARMM,Service and Sales Workers,2019,Q3,83.176,51.467
REGION VIII,Professionals,2018,Q4,83.083,29.866
BARMM,Skilled Agricultural Forestry and Fishery Workers,2020,Q3,83.053,520.367
REGION XII,Managers,2021,Q1,83.02433333333333,71.118
REGION III,Technicians and Associate Professionals,2021,Q3,82.946,89.62233333333332
REGION I,Professionals,2019,Q3,82.31,29.875
REGION IX,Skilled Agricultural Forestry and Fishery Workers,2020,Q4,82.156,259.432
REGION VI,Clerical Support Workers,2018,Q1,81.973,54.372
BARMM,Managers,2019,Q2,81.843,91.42
REGION XI,Managers,2019,Q4,81.239,81.497
REGION III,Craft and Related Trades Workers,2021,Q1,81.122,381.76933333333335
REGION I,Professionals,2021,Q3,81.06066666666668,40.547666666666665
REGION III,Technicians and Associate Professionals,2018,Q1,80.871,69.834
REGION I,Professionals,2020,Q3,80.858,24.226
MIMAROPA REGION,Service and Sales Workers,2020,Q2,80.63,65.826
CAR,Elementary Occupations,2019,Q3,80.58,128.474
REGION I,Professionals,2019,Q4,80.351,41.973
REGION II,Service and Sales Workers,2018,Q2,80.201,53.018
REGION IX,Managers,2020,Q3,79.88,82.281
REGION VII,Technicians and Associate Professionals,2019,Q1,79.842,55.674
REGION IX,Skilled Agricultural Forestry and Fishery Workers,2020,Q3,79.327,298.867
REGION X,Skilled Agricultural Forestry and Fishery Workers,2020,Q2,79.257,270.294
REGION VIII,Managers,2021,Q1,79.17200000000001,57.648666666666664
REGION VI,Clerical Support Workers,2021,Q1,79.03933333333333,63.060333333333325
REGION V,Professionals,2020,Q3,79.002,38.022
REGION III,Technicians and Associate Professionals,2018,Q3,78.775,114.673
REGION V,Managers,2021,Q4,78.732,69.48899999999999
REGION IX,Service and Sales Workers,2018,Q3,78.72,67.367
REGION III,Technicians and Associate Professionals,2021,Q2,78.69166666666666,97.765
CAR,Elementary Occupations,2020,Q4,78.41,137.896
REGION V,Skilled Agricultural Forestry and Fishery Workers,2020,Q2,78.267,288.071
BARMM,Managers,2018,Q2,78.238,83.214
REGION VII,Clerical Support Workers,2021,Q1,78.202,80.29433333333333
REGION II,Managers,2018,Q1,78.082,81.474
BARMM,Managers,2020,Q1,77.81,78.993
CARAGA,Service and Sales Workers,2018,Q4,77.747,56.57
CAR,Elementary Occupations,2020,Q2,77.441,85.997
REGION IX,Skilled Agricultural Forestry and Fishery Workers,2021,Q1,77.147,353.5853333333334
BARMM,Managers,2019,Q4,77.05,91.306
REGION VI,Skilled Agricultural Forestry and Fishery Workers,2020,Q1,76.518,315.031
REGION V,Skilled Agricultural Forestry and Fishery Workers,2020,Q3,76.502,334.814
CAR,Elementary Occupations,2019,Q1,76.451,121.512
REGION III,Craft and Related Trades Workers,2019,Q4,76.432,463.595
REGION I,Professionals,2018,Q1,76.429,48.843
REGION V,Skilled Agricultural Forestry and Fishery Workers,2019,Q3,76.241,294.035
REGION II,Service and Sales Workers,2018,Q3,76.075,61.94
REGION I,Professionals,2020,Q4,76.061,58.394
NCR,Craft and Related Trades Workers,2021,Q3,75.94266666666667,396.328
MIMAROPA REGION,Managers,2019,Q4,75.924,83.542
REGION XI,Managers,2019,Q2,75.759,107.189
REGION V,Professionals,2018,Q2,75.565,34.85
CAR,Elementary Occupations,2019,Q4,75.38,123.127
BARMM,Managers,2019,Q1,75.293,99.566
REGION VIII,Managers,2021,Q2,75.12866666666666,45.30566666666667
REGION XI,Professionals,2021,Q2,75.12599999999999,31.91133333333333
REGION V,Managers,2021,Q1,74.93466666666667,66.62400000000001
NCR,Craft and Related Trades Workers,2018,Q2,74.92,417.649
REGION V,Skilled Agricultural Forestry and Fishery Workers,2021,Q3,74.78833333333334,334.15833333333336
REGION XI,Clerical Support Workers,2019,Q4,74.758,48.626
REGION VIII,Professionals,2019,Q4,74.742,29.409
REGION XII,Managers,2021,Q2,74.67866666666667,49.002
REGION X,Professionals,2018,Q4,74.648,26.918
REGION XI,Clerical Support Workers,2019,Q2,74.34,53.08
REGION XII,Managers,2020,Q2,74.252,61.258
BARMM,Managers,2018,Q3,74.069,70.492
REGION XII,Skilled Agricultural Forestry and Fishery Workers,2020,Q3,73.967,390.754
REGION XII,Skilled Agricultural Forestry and Fishery Workers,2021,Q2,73.966,404.599
REGION XI,Professionals,2021,Q4,73.938,34.89266666666666
REGION VIII,Skilled Agricultural Forestry and Fishery Workers,2018,Q3,73.759,320.457
REGION VI,Skilled Agricultural Forestry and Fishery Workers,2019,Q1,73.678,282.731
REGION XI,Professionals,2019,Q4,73.599,37.727
REGION XI,Clerical Support Workers,2020,Q4,73.576,63.763
BARMM,Managers,2020,Q3,73.46,52.89
REGION III,Technicians and Associate Professionals,2020,Q1,73.198,90.21
REGION X,Skilled Agricultural Forestry and Fishery Workers,2019,Q2,73.149,273.708
REGION III,Craft and Related Trades Workers,2021,Q4,73.075,360.6513333333333
CARAGA,Managers,2019,Q3,72.976,58.723
REGION VII,Technicians and Associate Professionals,2018,Q3,72.905,62.749
REGION III,Technicians and Associate Professionals,2021,Q4,72.38166666666666,106.93466666666666
