Geolocation,Major Occupation,year,quarter,Female,Male
PHILIPPINES,Skilled Agricultural Forestry and Fishery Workers,2021,Q3,952.9593333333333,4296.3189999999995
REGION IVA,Service and Sales Workers,2021,Q3,936.21,590.5526666666666
PHILIPPINES,Technicians and Associate Professionals,2019,Q3,930.742,869.239
PHILIPPINES,Technicians and Associate Professionals,2021,Q4,915.1123333333334,895.6806666666666
PHILIPPINES,Skilled Agricultural Forestry and Fishery Workers,2019,Q4,904.711,4078.728
REGION IVA,Service and Sales Workers,2020,Q1,896.994,573.315
PHILIPPINES,Technicians and Associate Professionals,2019,Q2,880.186,894.871
PHILIPPINES,Technicians and Associate Professionals,2019,Q1,876.399,926.191
PHILIPPINES,Technicians and Associate Professionals,2018,Q3,873.42,916.109
REGION IVA,Service and Sales Workers,2020,Q4,861.378,588.229
PHILIPPINES,Skilled Agricultural Forestry and Fishery Workers,2018,Q2,860.64,4234.289
PHILIPPINES,Technicians and Associate Professionals,2019,Q4,858.658,837.337
PHILIPPINES,Skilled Agricultural Forestry and Fishery Workers,2020,Q1,854.555,4000.127
PHILIPPINES,Skilled Agricultural Forestry and Fishery Workers,2018,Q4,843.326,4166.409
PHILIPPINES,Skilled Agricultural Forestry and Fishery Workers,2019,Q2,840.23,3992.911
PHILIPPINES,Technicians and Associate Professionals,2021,Q3,837.573,839.1993333333334
REGION IVA,Service and Sales Workers,2019,Q2,827.409,569.022
PHILIPPINES,Skilled Agricultural Forestry and Fishery Workers,2019,Q3,823.508,4159.105
REGION IVA,Service and Sales Workers,2019,Q3,821.879,591.51
REGION IVA,Service and Sales Workers,2019,Q4,821.234,576.374
PHILIPPINES,Skilled Agricultural Forestry and Fishery Workers,2018,Q3,819.147,3983.794
PHILIPPINES,Technicians and Associate Professionals,2020,Q1,814.814,796.516
PHILIPPINES,Technicians and Associate Professionals,2018,Q4,813.605,829.729
PHILIPPINES,Technicians and Associate Professionals,2018,Q2,799.696,882.455
PHILIPPINES,Skilled Agricultural Forestry and Fishery Workers,2019,Q1,791.26,3670.913
NCR,Service and Sales Workers,2021,Q4,784.2616666666667,651.9430000000001
PHILIPPINES,Skilled Agricultural Forestry and Fishery Workers,2020,Q2,776.807,3985.013
PHILIPPINES,Technicians and Associate Professionals,2020,Q4,772.699,839.554
PHILIPPINES,Technicians and Associate Professionals,2021,Q2,753.125,866.0056666666666
NCR,Service and Sales Workers,2021,Q3,752.578,584.5956666666667
REGION III,Service and Sales Workers,2021,Q4,732.3256666666666,472.397
PHILIPPINES,Technicians and Associate Professionals,2018,Q1,727.165,807.865
REGION IVA,Service and Sales Workers,2019,Q1,723.987,527.105
PHILIPPINES,Technicians and Associate Professionals,2020,Q3,713.67,678.736
PHILIPPINES,Technicians and Associate Professionals,2020,Q2,693.953,624.186
PHILIPPINES,Skilled Agricultural Forestry and Fishery Workers,2021,Q1,687.7873333333333,4509.351
NCR,Service and Sales Workers,2021,Q2,687.68,577.318
